epoch;acc;loss;val_acc;val_loss
0;0.8971228240998156;0.3169736994765483;0.9394047624724252;0.9464313999811809
1;0.9033486462653951;0.3014545026208261;0.9396428572563899;0.954613379069737
2;0.9068242261903199;0.2892129639131188;0.9375000005676632;0.986260411852882
3;0.9126269342359767;0.27518200689865496;0.9510714286849612;0.7670610927400134
4;0.9135940519937925;0.2655303779146427;0.9400000006811959;0.9580324186597552
5;0.9188527564015564;0.256449888735952;0.9560714291390918;0.688567308925447
6;0.9225701160541586;0.2439927223572648;0.9521428565751938;0.7490420894395737
7;0.9238092362073681;0.2373645773708705;0.9615476189340864;0.5990440871602013
8;0.9277683753570689;0.23025410099232452;0.9619047623588926;0.6019622153327578
9;0.9289362980769231;0.2232912398301638;0.9580952385493687;0.6611201492945353
10;0.9314810308964799;0.21747778132847775;0.9642857141721817;0.564796926066989
11;0.9341453097083352;0.20469511938740714;0.9642857141721817;0.5598706230663117
12;0.9352937619736854;0.21006536109073942;0.9629761899085272;0.5891292075883775
13;0.9362608800773694;0.20190425519786442;0.9694047617912293;0.4851757843153817
14;0.9347195360139444;0.2077871975227758;0.9707142860548836;0.4613633292061942
15;0.9363515471582026;0.20178253228129456;0.9702380955786932;0.46858763513110935
16;0.9424879807692308;0.18940033717797353;0.9701190469378517;0.4644671958968753
17;0.9445221302342323;0.186159439964749;0.9707142860548836;0.4585617132413955
18;0.9432692307692307;0.18645737526508477;0.9721428564616612;0.4402739676975069
19;0.9411174610894941;0.18986954070366774;0.9677380945568993;0.5056862424668812
20;0.9461538461538461;0.17901679392044362;0.9722619040807088;0.43288110982804073
21;0.9435142651056183;0.1841294066241908;0.9708333331062681;0.44967840966724215
22;0.94723162487351;0.17445226030953848;0.9739285716556367;0.40974896396909444
23;0.9474100194552529;0.17643699677595834;0.9736904764175415;0.4125698417141324
24;0.9472014025516621;0.17535369962857356;0.9754761897949945;0.386551217351641
25;0.947775628741982;0.16942184771513802;0.9685714285714285;0.48442065238952636
26;0.9489783653846153;0.16684006441097993;0.9775000006811959;0.35588440196854726
27;0.9483827824490544;0.17634139281012667;0.9766666668937319;0.36598935093198504
28;0.9498911989957267;0.17318237020960167;0.9753571426300776;0.3783108535834721
29;0.9497703092471774;0.1681610966962357;0.9761904758498782;0.35852328646750675
30;0.9479266826923077;0.17523927012315163;0.9769047625859578;0.3561140659877232
31;0.9516138779125546;0.16674444540556901;0.9717857136045184;0.4472440753664289
32;0.9520974371373307;0.16380031628811614;0.9752380945568992;0.3810157753172375
33;0.9521522373540856;0.1600959910956802;0.9784523839042301;0.3287952780723572
34;0.9528846153846153;0.1644134072157053;0.9771428578240531;0.34331392027082897
35;0.9505714975906253;0.16005487819763936;0.9786904732386271;0.3283097105366843
36;0.951953125;0.16669105291366576;0.9778571426300775;0.34430147329966226
37;0.9523346300023076;0.16651846978682952;0.9792857149669102;0.31503235760189235
38;0.9531250001152894;0.16311172068810786;0.9776190472784496;0.3459661677337828
39;0.9527644230769231;0.1613867780336967;0.9789285716556367;0.3225994008495694
40;0.9562983558994197;0.15992492002145003;0.9786904768716721;0.3239470601081848
41;0.953215667080833;0.16688691759824292;0.9778571426300775;0.3407350504966009
42;0.9560736866544657;0.15386186574915503;0.9782142863954817;0.33219514841125125
43;0.9563588005431155;0.1623012360394347;0.9792857149669102;0.3263868732679458
44;0.9544471153846154;0.16482090583214393;0.9763095235824585;0.3680253111748468
45;0.9551009238925889;0.16111264746012854;0.9688095231283279;0.4707990404537746
46;0.9553312380263146;0.16427305744279977;0.9758333340145293;0.3712221837043762
47;0.9547475961538462;0.1636339857028081;0.9807142854872204;0.29855242933545795
48;0.9544850096711799;0.16389969198800608;0.9782142859413511;0.33211071655863805
49;0.9551313226093114;0.16382766735345008;0.9785714282308307;0.3236289619831812
50;0.9582331730769231;0.149731071637227;0.9777380954651606;0.3542988669304621
51;0.9559054643319239;0.1619975096194841;0.9785714278902327;0.32120805967421756
